BaseID	Medical care	Hotel	Business affairs	Life service	Transportation hub	Culture	Sports	Residence	Entertainment and leisure	Scenic spot	Government	Factory	Shopping	Restaurant	Education	Landmark	Other
79	0	0	1	0	0	0	3	4	0	0	2	0	3	4	2	0	1
80	1	0	5	0	0	0	0	8	0	0	13	1	0	0	7	0	1
81	0	3	3	5	1	1	0	8	0	0	0	0	4	2	1	0	2
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	0	14	0	0	0	0	0	0	0	1	3	0	0	0	0	0
84	0	2	19	0	0	6	0	4	0	0	2	0	0	2	2	0	0
85	6	4	13	1	0	0	2	28	0	0	2	2	10	11	6	0	0
86	6	13	13	4	0	2	3	95	4	3	5	2	10	5	7	2	6
87	0	1	3	1	0	4	4	47	1	0	6	1	5	12	18	0	2
88	1	7	5	2	0	1	2	34	2	1	4	1	5	1	2	0	3
89	3	7	20	9	0	0	4	53	1	0	9	0	12	5	2	0	4
90	2	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
91	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
92	2	1	9	1	0	0	2	15	2	0	2	0	8	0	1	0	3
93	0	4	1	0	0	0	0	7	0	0	1	0	1	2	0	0	1
94	0	0	3	0	0	0	0	9	0	0	1	1	0	0	1	0	0
95	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0
96	0	0	1	0	0	0	3	14	0	0	0	0	1	0	0	0	0
97	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0
98	0	0	3	0	0	0	0	18	0	0	2	0	8	0	1	0	2
99	0	0	0	0	0	0	2	12	0	0	2	0	4	0	2	0	2
100	1	4	10	4	0	0	0	28	0	0	1	2	11	1	1	0	1
101	0	0	1	0	0	0	0	17	0	0	0	0	3	0	0	0	2
102	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
103	0	0	2	1	0	0	0	3	0	1	0	0	3	0	0	0	0
104	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
105	1	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	2
106	0	0	0	0	0	0	2	14	0	0	0	0	2	0	1	0	0
107	2	1	2	6	0	0	1	15	3	0	0	0	4	4	0	0	1
108	0	0	1	1	0	0	0	62	1	0	0	0	5	2	0	0	4
109	0	5	6	0	0	0	0	7	0	0	0	0	0	1	0	0	2
110	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5
111	0	0	15	0	0	1	0	1	0	0	0	0	1	0	0	0	1
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	1	1	0	0	0	1	0	46	0	0	3	0	6	1	1	0	5
116	2	2	13	0	0	1	2	25	1	0	1	1	9	2	3	0	2
117	0	0	6	0	0	0	1	0	0	0	0	1	0	1	0	1	1
118	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
119	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0
120	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
121	0	0	2	0	0	0	0	3	0	0	1	1	0	0	1	0	0
122	0	0	0	0	0	2	0	18	0	0	1	0	0	0	2	0	9
123	0	0	12	1	0	2	3	29	1	0	0	0	5	1	1	0	0
124	1	2	0	3	0	0	0	9	1	0	3	0	1	10	6	0	0
125	0	0	1	1	0	0	0	12	1	0	0	0	1	5	0	0	0
126	0	0	0	0	0	0	0	11	0	0	1	0	0	0	2	0	0
127	3	0	4	0	0	1	2	36	0	1	6	2	4	1	5	0	1
128	0	4	6	2	0	2	0	0	0	0	6	0	2	6	0	0	2
129	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	2
130	1	6	6	5	1	0	0	32	0	0	11	0	18	17	0	0	3
131	0	1	5	0	0	0	1	17	0	0	0	0	12	0	1	0	0
132	0	6	4	0	0	0	0	37	3	2	2	0	9	8	4	0	0
133	0	0	6	1	0	2	0	5	0	0	0	0	0	2	0	0	1
134	0	2	0	6	4	0	2	2	0	0	4	2	2	2	0	0	0
135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	2	11	0	0	0	1	5	4	0	0	86	82	1	0	2
137	0	0	0	2	0	0	0	5	0	0	0	0	16	3	0	0	0
138	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	0	0
139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	1	1	15	0	0	2	0	14	0	0	6	0	2	1	2	0	1
141	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0
142	0	0	0	0	0	1	0	1	0	1	3	0	0	1	9	0	0
143	1	0	27	1	0	0	0	1	0	0	12	1	3	0	0	0	0
144	0	0	2	2	0	0	0	3	0	0	2	0	2	3	0	0	0
145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
146	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0
147	1	6	1	3	0	0	2	10	3	0	8	0	6	12	2	0	2
148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
150	0	0	0	1	0	0	0	10	0	6	4	0	3	8	0	0	0
151	0	3	7	1	0	0	1	23	1	3	5	0	8	0	0	0	0
152	1	3	6	0	0	0	0	32	1	7	2	0	6	4	2	0	0
153	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	1
154	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
155	0	0	5	0	0	1	0	4	0	0	5	1	0	0	0	0	1
156	0	1	2	0	0	0	0	29	0	0	0	0	0	1	1	0	1
157	0	2	5	7	1	0	0	20	1	0	0	0	3	2	0	2	6
158	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
159	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0
160	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	2
161	0	2	9	0	0	0	0	4	1	0	0	0	5	2	1	0	4
162	2	2	0	0	0	1	2	11	0	0	0	0	3	2	0	1	0
163	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
166	0	0	1	0	0	0	0	8	0	0	0	0	4	0	1	0	0
167	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0
168	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
169	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0
170	0	1	10	0	0	0	0	2	1	0	1	1	0	3	0	0	0
171	0	0	4	0	0	2	0	0	0	4	0	0	1	0	0	0	0
172	20	7	0	0	0	1	0	3	4	0	2	0	0	7	0	0	1
173	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
174	0	0	0	0	0	0	0	14	2	2	0	0	7	4	2	0	1
175	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	2
176	0	3	0	7	0	0	0	16	2	0	14	0	13	17	0	0	2
177	1	0	6	0	0	0	0	0	1	6	0	0	1	1	0	0	0
178	4	0	11	0	0	2	0	10	0	0	4	1	2	6	0	0	0
179	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0
180	0	0	2	3	0	0	0	5	0	4	0	0	2	3	0	0	0
181	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
182	0	0	0	0	0	0	0	6	1	2	2	0	1	0	0	0	0
183	0	9	10	4	0	2	0	16	2	2	11	2	6	15	6	0	2
184	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
185	0	5	0	1	0	1	2	0	1	1	0	0	19	41	0	0	0
186	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0
187	0	0	28	2	0	0	0	0	0	0	1	0	7	1	0	0	0
188	0	0	5	0	0	0	0	2	0	0	4	0	0	0	1	0	0
189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
190	0	1	0	0	0	0	4	7	1	0	0	0	1	0	0	0	0
191	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
192	4	2	14	2	0	0	0	4	4	0	6	2	7	2	0	0	2
193	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
194	0	0	0	0	0	0	1	4	1	0	0	0	1	1	0	0	2
195	2	8	64	18	0	4	10	3	2	0	13	0	45	43	3	0	2
196	0	0	0	0	0	0	1	2	0	0	0	0	0	1	4	0	0
197	5	4	16	5	0	0	0	15	5	0	3	0	4	16	2	0	0
198	2	0	6	3	0	0	0	2	0	0	5	0	46	6	2	0	0
199	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
200	6	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0
201	0	0	2	2	0	0	0	2	0	0	0	0	1	2	0	0	0
202	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0
203	0	0	5	0	0	0	0	32	0	0	2	0	2	0	2	0	1
204	0	0	0	0	0	0	0	30	0	0	1	0	0	1	0	0	0
205	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
206	3	3	3	1	0	1	0	26	0	0	1	0	3	15	2	0	5
207	0	0	0	1	0	0	0	28	0	0	2	0	3	0	2	0	1
208	0	3	3	1	0	0	0	14	0	0	0	0	4	1	0	0	1
209	0	0	2	0	0	0	0	9	0	0	0	0	0	1	0	0	0
210	3	6	54	20	2	1	5	25	4	1	5	1	18	51	6	0	3
211	0	3	22	1	0	0	2	11	0	0	2	1	4	1	1	0	3
212	0	3	3	2	0	0	2	18	1	0	1	0	2	3	5	0	1
213	0	6	4	0	0	1	1	25	0	0	1	0	12	4	5	1	5
214	0	1	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0
215	1	0	1	0	0	0	0	10	0	9	0	2	5	4	1	0	0
216	0	8	5	1	0	0	4	24	2	0	0	0	3	3	2	0	2
217	1	9	14	3	1	0	1	18	1	0	1	2	8	7	0	0	4
218	1	5	20	15	0	0	0	21	1	0	16	0	4	5	2	0	2
219	2	0	0	1	0	4	0	8	0	2	0	0	4	2	0	0	0
220	2	4	5	0	0	0	1	41	0	0	1	1	7	1	1	1	3
221	0	2	9	1	0	0	2	4	0	0	10	2	0	0	2	0	7
222	0	6	8	2	0	2	7	34	2	0	1	0	16	3	6	0	2
223	0	0	4	4	0	0	0	2	0	0	1	7	5	1	0	0	4
224	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	0	3	3	0	0	0	2	0	1	0	0	1	0	0	0	0	2
226	0	2	0	0	0	0	5	27	0	0	2	0	2	0	1	0	1
227	1	4	14	2	0	1	1	151	0	0	3	1	3	2	1	1	7
228	1	3	0	0	0	0	0	8	0	1	1	0	2	4	1	0	2
229	0	6	1	1	0	0	0	7	0	0	1	1	0	2	0	0	5
230	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	2
231	1	0	22	0	0	1	1	4	0	0	8	0	0	1	0	0	2
232	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
233	1	0	7	1	1	0	0	1	0	0	1	0	2	4	0	0	0
234	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
235	1	1	3	0	1	0	0	2	0	2	1	0	1	2	0	0	3
236	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0
237	1	0	1	0	0	1	1	0	0	14	0	0	0	0	1	0	1
238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
240	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
241	4	0	1	10	0	0	4	3	3	0	0	0	14	11	1	0	1
242	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
243	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
244	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
245	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
246	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	0	1
247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	0	0	1	1	0	0	0	3	0	0	1	0	1	0	0	0	0
249	2	0	1	1	0	0	0	3	0	0	0	1	1	1	0	0	0
250	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
251	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
252	0	0	2	0	1	0	0	12	0	0	2	0	0	0	0	0	0
253	0	1	0	0	0	0	0	2	0	0	1	0	4	0	0	0	0
254	1	1	2	0	1	0	0	0	1	0	1	1	1	0	0	0	1
255	0	0	7	1	0	0	0	0	0	0	4	1	1	1	0	0	0
256	1	3	4	0	0	0	0	11	0	0	4	0	3	1	0	0	1
257	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258	0	3	12	0	0	0	2	3	0	0	0	0	3	4	0	0	0
259	0	3	11	0	0	0	4	13	1	0	4	0	12	2	1	0	2
260	1	0	1	0	0	0	0	4	0	0	0	0	2	1	0	0	1
261	1	1	2	3	0	0	0	12	0	0	1	2	3	2	2	1	1
262	2	1	1	9	0	0	0	60	0	0	1	0	10	2	1	0	3
263	0	0	0	0	0	0	1	7	1	0	0	0	3	1	1	0	0
264	0	2	4	1	0	0	1	8	0	0	2	0	1	0	0	0	3
265	0	2	7	1	0	0	1	171	0	0	5	1	5	3	4	0	8
266	0	0	0	0	0	0	0	0	0	1	2	0	0	0	6	0	0
267	0	1	2	0	0	0	2	1	0	0	1	1	1	0	1	0	0
268	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
270	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0
271	0	3	1	0	0	0	0	0	0	0	0	0	4	9	6	0	0
272	17	0	0	1	0	1	0	2	0	0	3	0	1	3	2	0	0
273	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	2
274	1	1	6	4	0	0	2	1	1	0	1	0	3	0	0	0	5
275	1	0	1	2	0	0	1	6	0	0	1	0	3	4	0	0	0
276	0	1	11	0	0	0	1	5	1	0	3	1	2	5	0	0	2
277	0	0	0	0	0	0	0	3	0	1	1	0	0	1	8	0	0
278	1	4	22	6	0	0	0	19	1	1	6	0	8	15	1	0	2
279	0	1	2	0	0	0	0	14	0	0	4	0	3	0	3	0	3
280	0	1	6	0	0	0	0	6	0	0	1	1	1	2	0	0	0
281	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
282	0	4	22	0	0	0	0	10	4	0	2	0	2	2	0	0	4
283	1	0	2	2	2	0	1	16	0	0	0	0	5	2	2	0	3
284	0	0	0	0	0	0	0	4	2	0	0	0	6	0	0	0	0
285	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
286	0	2	1	0	0	1	0	11	0	0	1	0	0	1	0	0	0
287	0	0	2	4	0	1	0	10	0	0	1	0	4	3	3	0	0
288	0	1	19	1	0	1	4	32	9	1	5	6	6	16	6	0	0
289	4	0	1	0	0	0	1	22	0	0	0	3	0	0	4	0	0
290	2	0	9	0	0	0	0	22	0	0	9	2	3	2	2	0	2
291	0	0	0	0	0	0	0	11	0	1	1	0	0	0	0	0	0
292	1	2	0	0	0	0	0	11	0	0	0	0	2	0	3	0	0
293	17	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
294	0	0	0	0	0	0	0	24	0	0	1	0	2	4	7	0	0
295	0	0	0	0	0	0	2	2	0	0	1	0	1	0	0	0	0
296	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
297	0	0	0	0	1	0	0	4	0	3	1	0	1	1	1	0	1
298	0	1	20	0	0	0	8	0	6	1	0	0	5	19	3	0	1
299	0	0	4	0	0	0	2	8	0	0	0	0	0	0	0	0	0
300	0	0	3	0	0	0	5	3	0	0	0	0	1	0	2	0	0
301	2	0	0	6	0	0	0	48	1	0	0	0	17	5	2	0	0
302	3	5	1	1	1	1	0	22	1	1	9	1	11	7	3	1	1
303	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1
304	0	0	0	0	0	0	0	7	0	0	1	0	0	0	1	0	0
305	1	0	0	5	0	0	0	21	4	0	0	0	4	2	0	0	0
306	1	7	12	5	4	0	4	2	0	6	0	0	17	12	0	0	2
307	0	4	12	3	0	0	0	18	0	0	4	0	1	0	0	0	8
308	0	0	2	0	0	0	0	2	0	1	0	3	0	0	2	0	0
309	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0
310	0	0	12	0	0	0	0	10	0	0	0	0	2	0	1	0	2
311	2	0	10	10	0	0	1	0	3	1	1	0	8	10	0	0	0
312	0	3	9	0	0	1	1	11	0	0	0	0	9	4	0	0	3
313	0	0	3	1	0	0	0	6	2	0	0	0	0	0	2	0	4
314	3	0	3	1	0	0	0	46	0	0	2	0	3	0	1	0	3
315	0	0	6	0	0	0	0	9	0	0	0	1	0	0	0	0	1
316	1	1	2	0	0	0	1	30	0	0	3	0	8	2	2	0	2
317	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
319	0	0	14	9	0	0	0	0	2	0	0	2	10	4	0	0	0
320	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
321	0	2	0	1	0	0	0	6	0	0	0	0	2	0	0	0	0
322	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0
323	0	0	0	1	1	0	0	4	0	0	0	0	1	0	0	0	1
324	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
325	0	0	0	0	0	1	2	4	0	0	0	0	1	0	8	0	0
326	1	1	2	1	1	0	0	40	0	1	0	1	2	5	2	0	2
327	0	10	10	2	0	0	2	18	0	0	2	0	4	2	2	0	2
328	0	4	0	1	0	0	1	8	0	0	0	0	4	3	2	0	0
329	1	0	1	7	0	2	7	9	2	0	0	0	10	10	1	0	2
330	0	0	3	1	0	0	1	9	3	0	1	2	4	3	1	0	0
331	0	0	1	0	0	2	0	4	0	0	0	0	0	1	9	0	1
332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
335	0	5	6	8	0	1	3	43	4	0	2	1	9	3	1	0	1
336	2	4	30	2	0	1	1	11	3	3	2	1	12	24	10	1	0
337	0	0	0	0	0	0	0	41	0	0	1	0	3	0	0	0	0
338	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	1
339	0	0	3	0	0	0	0	8	0	0	3	0	1	1	1	1	0
340	2	4	4	8	2	1	0	91	0	3	6	0	17	15	7	0	6
341	1	9	1	2	0	2	3	51	2	0	2	0	8	3	8	2	1
342	4	5	2	1	0	0	1	28	1	3	0	0	2	3	3	0	1
343	7	1	7	0	0	1	1	29	1	0	6	0	3	1	6	0	4
344	0	2	2	0	0	0	1	5	0	0	2	0	1	0	0	0	0
345	0	1	0	0	1	0	0	6	0	0	0	1	1	3	3	0	3
346	7	1	1	1	0	1	0	15	0	0	3	0	4	1	0	0	1
347	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
348	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1
349	0	4	1	3	0	1	1	40	0	0	2	0	6	8	5	0	1
350	1	1	2	0	0	1	0	27	2	1	2	0	7	9	3	1	1
351	0	4	9	0	0	1	0	19	0	0	8	1	1	1	1	0	0
352	0	3	9	0	0	1	5	11	0	0	8	1	0	2	1	0	0
353	8	16	8	0	0	3	0	16	0	0	9	1	2	15	4	0	8
354	0	2	2	0	0	0	0	2	0	2	2	0	0	2	0	0	6
355	0	1	1	0	0	0	2	7	0	0	1	0	0	1	0	0	0
356	0	0	0	0	0	0	4	12	0	0	1	0	0	2	9	0	0
357	0	0	1	2	0	0	2	33	0	0	0	0	0	1	1	0	2
358	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
359	1	1	1	1	0	0	0	3	0	0	1	0	1	3	1	0	0
360	0	1	0	0	0	0	0	8	0	0	2	0	9	1	0	0	0
361	0	2	4	0	0	0	0	14	0	0	3	0	3	1	0	0	3
362	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0
363	0	4	5	0	0	0	1	2	0	0	4	3	0	0	2	0	1
364	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
365	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1
366	0	2	0	0	0	0	1	6	0	0	0	1	2	2	0	0	2
367	0	1	5	1	0	0	1	20	2	0	1	0	10	3	1	0	1
368	1	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0
369	0	0	5	4	0	1	0	14	0	1	2	3	2	4	2	0	2
370	0	2	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0
371	1	0	2	0	0	2	6	55	5	0	20	1	5	6	43	0	4
372	0	0	1	1	0	0	0	5	1	2	3	0	2	1	1	0	2
373	0	2	12	2	0	0	0	4	0	0	0	2	4	2	0	0	1
374	0	0	1	0	0	0	0	4	0	0	6	0	0	0	2	0	0
375	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
376	34	0	8	0	0	1	3	43	0	2	9	0	8	3	0	0	2
377	9	4	14	5	0	1	1	69	1	0	3	1	16	13	3	0	2
378	2	4	6	5	1	0	2	48	5	0	2	1	14	11	3	0	3
379	0	1	4	0	0	0	0	14	0	0	3	0	3	2	2	0	1
380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
